dep airport,dep delay,arr airport,arr delay
HOU,8,ABQ,
HOU,10,AGS,
HOU,21,ATL,
HOU,5,ATL,
HOU,21,ATL,
HOU,21,ATL,
HOU,15,ATL,
HOU,5,ATL,
HOU,5,ATL,
HOU,5,ATL,
HOU,21,ATL,
HOU,21,ATL,
HOU,5,ATL,
HOU,21,ATL,
HOU,5,ATL,
HOU,2,ATL,
HOU,18,ATL,
HOU,21,ATL,
HOU,37,AUS,23
HOU,51,AUS,42
HOU,12,AUS,
HOU,36,BHM,28
HOU,9,BNA,
HOU,18,BNA,
HOU,6,BNA,
HOU,21,BOS,25
HOU,14,BWI,3
HOU,17,BWI,
HOU,7,BZE,
HOU,15,CMH,8
HOU,13,CRP,
HOU,11,CUN,
HOU,12,CUN,
HOU,4,CZM,
HOU,6,DAL,
HOU,12,DAL,
HOU,7,DAL,
HOU,17,DAL,
HOU,10,DAL,
HOU,8,DAL,16
HOU,15,DAL,21
HOU,8,DCA,
HOU,20,DEN,
HOU,13,DEN,
HOU,16,DEN,
HOU,8,DEN,
HOU,37,DFW,2
HOU,10,DFW,
HOU,39,DFW,2
HOU,23,DFW,
HOU,39,DFW,2
HOU,10,DFW,
HOU,39,DFW,2
HOU,39,DFW,2
HOU,37,DFW,2
HOU,10,DFW,
HOU,39,DFW,2
HOU,21,ECP,2
HOU,11,ELP,
HOU,6,FLL,
HOU,38,FLL,20
HOU,38,GRR,24
HOU,17,HDN,
HOU,6,IND,
HOU,31,JAN,12
HOU,16,LAS,
HOU,6,LAS,
HOU,18,LAX,2
HOU,31,LAX,4
HOU,19,LBB,1
HOU,37,LGA,3
HOU,50,LIR,21
HOU,9,MAF,
HOU,21,MCI,
HOU,41,MCO,17
HOU,10,MCO,2
HOU,14,MCO,11
HOU,9,MDW,
HOU,20,MDW,
HOU,17,MDW,2
HOU,16,MDW,
HOU,13,MDW,
HOU,26,MEM,6
HOU,11,MIA,2
HOU,11,MIA,
HOU,14,MSY,1
HOU,28,MSY,6
HOU,7,MSY,
HOU,9,OAK,
HOU,10,OKC,
HOU,7,OMA,
HOU,14,PBI,
HOU,13,PBI,13
HOU,10,PHX,5
HOU,11,PHX,
HOU,25,PIT,2
HOU,18,PVR,
HOU,16,RDU,12
HOU,10,RSW,3
HOU,13,SAN,2
