dep airport,dep delay,arr airport,arr delay
LAX,7,SFO,
LAX,35,PTY,
LAX,52,GDL,7
LAX,,MEX,
LAX,9,SFO,
LAX,15,SJC,
LAX,10,DFW,
LAX,10,DFW,
LAX,18,JFK,
LAX,19,DTW,
LAX,19,DTW,
LAX,19,DTW,
LAX,26,SFO,5
LAX,12,SEA,
LAX,10,LAS,
LAX,10,LAS,
LAX,10,LAS,
LAX,10,LAS,
LAX,10,LAS,
LAX,10,LAS,
LAX,10,LAS,
LAX,13,PHX,
LAX,6,OMA,
LAX,8,DEN,
LAX,27,LAS,
LAX,8,STS,
LAX,10,DFW,
LAX,11,JFK,
LAX,11,JFK,
LAX,11,JFK,
LAX,18,SLC,
LAX,18,SLC,
LAX,18,SLC,
LAX,10,TUS,
LAX,10,TUS,
LAX,10,TUS,
LAX,10,TUS,
LAX,22,TUS,
LAX,22,TUS,
LAX,22,TUS,
LAX,11,ATL,
LAX,14,MEX,
LAX,11,MCO,
LAX,11,MCO,
LAX,11,MCO,
LAX,11,MCO,
LAX,9,DCA,11
LAX,9,DCA,11
LAX,6,JFK,1
LAX,11,ABQ,
LAX,16,MCO,
LAX,10,JFK,
LAX,19,SFO,
LAX,7,GDL,
LAX,29,JFK,
LAX,26,SFO,5
LAX,70,HOU,23
LAX,13,SJC,
LAX,13,SJC,
LAX,16,XNA,
LAX,10,EWR,
LAX,17,DFW,
LAX,25,MIA,40
LAX,27,LAS,
LAX,16,DCA,
LAX,50,JFK,21
LAX,61,SJD,36
LAX,7,PHX,
LAX,10,RDM,
LAX,15,BNA,
LAX,15,PHX,
LAX,14,MFR,
LAX,9,IAD,
LAX,14,ORD,
LAX,12,DTW,9
LAX,8,IAH,
LAX,18,SFO,
LAX,13,DFW,
LAX,4,FLL,
LAX,14,SMF,
LAX,16,DFW,
LAX,36,YVR,2
LAX,4,JFK,
LAX,40,ORD,3
LAX,27,LAS,
LAX,27,LAS,
LAX,27,LAS,
LAX,27,LAS,
LAX,27,LAS,
LAX,16,XNA,
LAX,11,SFO,
LAX,19,MEX,
LAX,19,MEX,
LAX,19,MEX,
LAX,37,MSY,20
LAX,5,BOS,
LAX,29,ORD,
LAX,9,JFK,
LAX,,SFO,
LAX,12,HNL,
